0, 0, (-0.01246873756137966, 0.12624073112505782)
1, 3, (0.83986912948186743, 0.48718605410653626)
2, 1, (1.2530185230978477, -0.22036336202481607)
3, 3, (1.0816298285911905, 0.95186990647844261)
4, 0, (0.34321891472100502, -0.052446735810210025)
5, 3, (1.0956428862932113, 0.66888940358422422)
6, 3, (0.97018644679159238, 0.79672133363172914)
7, 2, (-0.19921904347127992, 1.3966935682297366)
8, 0, (0.058552475034649026, -0.29484692114719874)
9, 0, (-0.3639666191489877, -0.37075411164105587)
10, 1, (1.0663362807743082, 0.57399510479422255)
11, 1, (0.81420651200702399, -0.13190577034986262)
12, 1, (1.0785807272169166, 0.14465241301895251)
13, 1, (0.93270247717240817, 0.013222377802709231)
14, 2, (0.079183603751589254, 0.93526521480339708)
15, 0, (-0.023051600400083534, -0.26794453274669677)
16, 3, (0.87182233043581758, 0.92209884523603469)
17, 0, (0.20129553865210426, -0.20533366999306588)
18, 1, (0.92616409191837756, -0.093808201601975172)
19, 1, (1.1907668777163358, -0.0060357307977578385)
20, 2, (-0.12922746566094789, 0.95628682280469102)
21, 3, (1.0359438999690127, 0.86785012652360627)
22, 0, (0.15382637125235446, -0.25484734487635152)
23, 2, (-0.0018286481574448759, 0.80847880266344374)
24, 3, (1.0619471806531084, 0.95256138594284157)
25, 3, (1.4662841207487922, 0.40779486721634628)
26, 2, (0.22036787075055073, 1.0674264348105766)
27, 0, (0.1752834929791818, 0.22473437424843495)
28, 2, (-0.029327441400812584, 0.58854301651112739)
29, 1, (1.1371022601020588, 0.32008253842864093)
30, 0, (-0.01353237255389919, 0.29130407185309376)
31, 2, (-0.052813251156807087, 0.96670359480972212)
32, 2, (-0.059317054996549073, 0.8002472449060718)
33, 1, (0.78134911831452314, -0.17189288312113946)
34, 3, (0.89863731827053484, 1.2623854891645439)
35, 3, (0.89044443530089767, 1.1659871537449922)
36, 1, (0.91172340862978929, 0.050419974945272977)
37, 3, (1.0604029570681124, 1.2336903099488374)
38, 3, (1.0157102097273774, 1.4627603845122321)
39, 3, (1.0325417776116792, 0.99780735418427713)
40, 1, (1.369211568432976, 0.0018249314001232682)
41, 0, (-0.11825375921113038, -0.12317279271873871)
42, 1, (1.5267806332161755, 0.23955288416676399)
43, 3, (1.1281167867853312, 0.96545353846452575)
44, 3, (1.0296094432380953, 1.1607928959999767)
45, 1, (0.94866212090917934, -0.21699590926902992)
46, 2, (0.2181872071038643, 0.89532479813336963)
47, 0, (0.020879395596076787, -0.067588429731209154)
48, 1, (0.84674146632630798, 0.21389545300578133)
49, 1, (1.0629946299698831, -0.064386866361189482)
50, 1, (0.93534044207244393, -0.40388439391527797)
51, 1, (0.74590488245959607, 0.2807111321819295)
52, 0, (0.38433658410375571, -0.04439836656743764)
53, 3, (0.84019283324063709, 1.2619237506631571)
54, 2, (-0.029054698626653788, 0.85786033521738758)
55, 1, (0.98338524043298636, 0.15846019074719361)
56, 3, (1.1475502039225416, 1.3010176808022149)
57, 1, (0.94721443433308394, -0.11899157870226441)
58, 3, (0.67637464646499446, 0.88918824802405527)
59, 1, (1.1257052051701866, -0.093088036972804558)
60, 3, (0.80396046194281523, 0.85887344341457617)
61, 0, (-0.078267223867609675, 0.087252152857421841)
62, 0, (-0.51945325455495783, 0.084495345311055806)
63, 1, (0.59465181464914241, 0.12488560612316603)
64, 3, (1.294805418815768, 1.0660140975572934)
65, 0, (0.01513637745096838, -0.074225480754195119)
66, 2, (-0.0081484873800089369, 0.8496190476636758)
67, 2, (-0.093045036951562562, 0.88394486161694996)
68, 2, (0.12433281060115164, 0.94358556966312968)
69, 2, (0.29732848064180778, 1.1871773422839313)
70, 3, (1.1610002252206282, 1.0354817597212607)
71, 3, (0.64180572391154112, 0.75298100328687223)
72, 0, (0.30930691107059444, 0.15394868781048973)
73, 0, (0.44568084632484772, -0.18803508579184078)
74, 0, (0.08264086157582444, 0.20815886544111442)
75, 2, (-0.42137589907701573, 0.76999164301795475)
76, 0, (-0.33237341673190168, 0.089163296983440291)
77, 1, (1.2044134596477258, -0.09624185692531817)
78, 3, (1.0472158863081651, 1.2258579951138502)
79, 2, (-0.030830854600362036, 0.96475655369959878)
80, 2, (0.3954179412458298, 1.1770135306436766)
81, 0, (0.27392637929929109, -0.35463159608375289)
82, 2, (-0.088833626225479051, 0.76020329044345025)
83, 1, (0.86879214100982516, -0.00024068361978154239)
84, 3, (0.89600177782270252, 0.94678497685638829)
85, 2, (-0.17605270195366798, 1.2251353436128263)
86, 1, (0.88452845229711741, -0.0086572899874240421)
87, 0, (0.098245111680595534, 0.0094697632776401443)
88, 1, (0.57067499603795435, 0.16629819490247308)
89, 3, (0.98247393693220664, 1.3387766841588009)
90, 3, (1.2214436339405252, 0.82369352712011423)
91, 0, (0.16225911546395938, -0.22337530343280879)
92, 3, (1.3882107213344081, 0.92180319186175974)
93, 2, (-0.115408382944375, 1.0336889045926709)
94, 1, (1.1487647141434238, -0.13347048757604224)
95, 2, (0.16157899746305643, 0.73737301233353636)
96, 2, (-0.25304435424548233, 0.76042548834967449)
97, 1, (1.4086672789594279, 0.10748581509040266)
98, 0, (-0.29425142900964807, -0.24409015365497896)
99, 2, (0.058184945601311072, 0.80958686835633942)
100, 3, (0.75929259165010743, 1.3299673076646514)
101, 2, (0.014228031582355303, 0.97236249406850628)
102, 0, (-0.18456534552328158, 0.30072016362149551)
103, 0, (-0.25497818212340678, 0.23031054969366963)
104, 0, (0.16747551686353904, 0.046851564098486745)
105, 2, (0.14644564779763428, 1.0496819799769861)
106, 0, (-0.01262893852903409, -0.077103267599233347)
107, 2, (0.12113705195033327, 0.99883376082095587)
108, 2, (0.0864802566781223, 1.0093502139780903)
109, 1, (0.77087413968458918, 0.03026903814164747)
110, 0, (0.14474375115922455, -0.16222181765162749)
111, 1, (0.99617648706088857, 0.21869470551688883)
112, 0, (0.37007735863225127, 0.0048570850895143288)
113, 0, (0.1063440502931272, -0.19140807363196896)
114, 2, (-0.057824584912575999, 0.98466745079052531)
115, 3, (1.0741310711073737, 0.58255783736296585)
116, 2, (-0.074009913197190524, 1.0113736435497274)
117, 3, (0.7356903068203221, 1.1944752261992295)
118, 1, (0.71248344691060495, -0.47224967693790032)
119, 2, (0.053112758715104506, 0.93965752760770127)
